t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
6.500000000000000222e-01,5.550501573451359534e-03,3.095104098320007324e-01,7.349938154220581055e-02,5.247031450271606445e-01,7.078084441291614126e-02,-7.421937812901440168e-01,6.594659761991555902e-02,-2.232586634543313409e+00,1.273379902812269149e-01,1.512407472222957683e+00,7.466525471936725777e-01
6.666666666666666297e-01,5.566886103691149473e-03,3.094864487648010254e-01,7.515187561511993408e-02,5.254873037338256836e-01,7.213845838953454603e-02,-7.405385750736266370e-01,6.690133596921073178e-02,-2.229541234620807444e+00,1.310868401508246961e-01,1.510715853500265382e+00,7.455889817295473510e-01
6.833333333333333481e-01,5.581769451945844777e-03,3.094613254070281982e-01,7.679592072963714600e-02,5.262548327445983887e-01,7.348971276252930229e-02,-7.389009526475409650e-01,6.782621364563498623e-02,-2.226560302345821363e+00,1.348526714839438090e-01,1.509085191799678149e+00,7.445890205666254591e-01
6.999999999999999556e-01,5.594997077201897644e-03,3.094351291656494141e-01,7.843104749917984009e-02,5.270054340362548828e-01,7.483376214323522735e-02,-7.372816083752485872e-01,6.872099291156932854e-02,-2.223645516790973442e+00,1.386358523530538678e-01,1.507516122972530237e+00,7.436549680724892086e-01
7.166666666666666741e-01,5.606239162521063288e-03,3.094078600406646729e-01,8.005681633949279785e-02,5.277390480041503906e-01,7.616953591093290898e-02,-7.356814803197290198e-01,6.958526113604160401e-02,-2.220798074560846214e+00,1.424374116774618226e-01,1.506008734332479060e+00,7.427890430180609238e-01
7.333333333333332815e-01,5.615161557688019486e-03,3.093795776367187500e-01,8.167280256748199463e-02,5.284556746482849121e-01,7.749590321727956033e-02,-7.341015653345001057e-01,7.041856530684589832e-02,-2.218018912997689274e+00,1.462586780797025809e-01,1.504562812655302562e+00,7.419934184420885481e-01
7.500000000000000000e-01,5.621323289294489524e-03,3.093501627445220947e-01,8.327866345643997192e-02,5.291554331779479980e-01,7.881179006916574914e-02,-7.325427779831467090e-01,7.122051489517951250e-02,-2.215308861077229796e+00,1.501010912194869762e-01,1.503178024146097247e+00,7.412701847554877821e-01
7.666666666666666075e-01,5.624353953402710417e-03,3.093197047710418701e-01,8.487416803836822510e-02,5.298385620117187500e-01,8.011612759292052743e-02,-7.310057704964499914e-01,7.199086593789863486e-02,-2.212668188712971329e+00,1.539663195629275838e-01,1.501854055955898382e+00,7.406215461142781065e-01
7.833333333333333259e-01,5.623766742107753382e-03,3.092883527278900146e-01,8.645907044410705566e-02,5.305054783821105957e-01,8.140757678798264674e-02,-7.294908097548676862e-01,7.272903977048870983e-02,-2.210096665568476393e+00,1.578568390111105280e-01,1.500590305884896392e+00,7.400500840894640442e-01
8.000000000000000444e-01,5.619145810453266866e-03,3.092562854290008545e-01,8.803310245275497437e-02,5.311564803123474121e-01,8.268457153163294437e-02,-7.279977973788153145e-01,7.343411433224518448e-02,-2.207593929883525430e+00,1.617757894289132969e-01,1.499385788204031345e+00,7.395588085959090563e-01
8.166666666666666519e-01,5.610116692707102677e-03,3.092236816883087158e-01,8.959593623876571655e-02,5.317917466163635254e-01,8.394549231366216224e-02,-7.265263473893198709e-01,7.410501445599280979e-02,-2.205159766632010854e+00,1.657265139698082812e-01,1.498239246100214750e+00,7.391510290519188731e-01
8.333333333333333703e-01,5.596455416174235878e-03,3.091906905174255371e-01,9.114723652601242065e-02,5.324112176895141602e-01,8.518878964292181388e-02,-7.250758755445683157e-01,7.474067797184361095e-02,-2.202794214770717129e+00,1.697122547925991320e-01,1.497149239704183232e+00,7.388301617318735470e-01
8.499999999999999778e-01,5.577997606165324002e-03,3.091575801372528076e-01,9.268690645694732666e-02,5.330150127410888672e-01,8.641313471134118296e-02,-7.236460352834483967e-01,7.534022675252027845e-02,-2.200497533365429970e+00,1.737366131923485657e-01,1.496115268200802317e+00,7.385995708091225298e-01
8.666666666666666963e-01,5.554701777773867442e-03,3.091244995594024658e-01,9.421492367982864380e-02,5.336030721664428711e-01,8.761739964708009643e-02,-7.222365833118515877e-01,7.590304855281079788e-02,-2.198270241276496062e+00,1.778029040515778647e-01,1.495136724690821595e+00,7.384626140210670542e-01
8.833333333333333037e-01,5.526629340793450668e-03,3.090912997722625732e-01,9.573103487491607666e-02,5.341748595237731934e-01,8.880057127378826465e-02,-7.208468673818713146e-01,7.642880664348593311e-02,-2.196113004222003617e+00,1.819129630638446071e-01,1.494210852520950317e+00,7.384226999479871489e-01
9.000000000000000222e-01,5.493786222076296223e-03,3.090577423572540283e-01,9.723506867885589600e-02,5.347299575805664062e-01,8.996180413875137782e-02,-7.194762502898641721e-01,7.691752261951223524e-02,-2.194026472340056433e+00,1.860681126990983980e-01,1.493334975790519437e+00,7.384829568175838022e-01
9.166666666666666297e-01,5.456345035298588303e-03,3.090239465236663818e-01,9.872696548700332642e-02,5.352680087089538574e-01,9.110027944410439837e-02,-7.181240431248396838e-01,7.736962330240985952e-02,-2.192010999727831422e+00,1.902692861537411684e-01,1.492507769702916098e+00,7.386458832893209037e-01
9.333333333333333481e-01,5.414360359532419467e-03,3.089900612831115723e-01,1.002066582441329956e-01,5.357888340950012207e-01,9.221518396391843730e-02,-7.167893720815657899e-01,7.778586672288073656e-02,-2.190066747492936727e+00,1.945166859052148700e-01,1.491728079451802413e+00,7.389133901904612056e-01
9.499999999999999556e-01,5.368010009098304891e-03,3.089563250541687012e-01,1.016739979386329651e-01,5.362920761108398438e-01,9.330595358008759999e-02,-7.154714292632493589e-01,7.816694056964151871e-02,-2.188193916975128772e+00,1.988099610939404738e-01,1.490994726765698219e+00,7.392866168534578675e-01
9.666666666666666741e-01,5.317256972111140088e-03,3.089227974414825439e-01,1.031287908554077148e-01,5.367775559425354004e-01,9.437222017822584352e-02,-7.141695086707439133e-01,7.851346061911283758e-02,-2.186392730216798697e+00,2.031483356167952392e-01,1.490306449213193218e+00,7.397659596057947207e-01
9.833333333333332815e-01,5.262186920626221384e-03,3.088897168636322021e-01,1.045706942677497864e-01,5.372449159622192383e-01,9.541358589027333637e-02,-7.128829274549371986e-01,7.882581416708261957e-02,-2.184663320708696510e+00,2.075307392312324972e-01,1.489662031145229770e+00,7.403510913894032486e-01
1.000000000000000000e+00,5.202489636545584717e-03,3.088572919368743896e-01,1.059992164373397827e-01,5.376942157745361328e-01,9.642958516461636043e-02,-7.116110278607808981e-01,7.910407110052565527e-02,-2.183005584160625734e+00,2.119559904451148447e-01,1.489060386638693556e+00,7.410408012326998861e-01
1.016666666666666607e+00,5.138111503388342188e-03,3.088258504867553711e-01,1.074138283729553223e-01,5.381252169609069824e-01,9.741976841735432158e-02,-7.103531283312986000e-01,7.934817838904792420e-02,-2.181419335184050290e+00,2.164228676598617951e-01,1.488500426779794106e+00,7.418332462142424033e-01
1.033333333333333215e+00,5.068806805538274458e-03,3.087956011295318604e-01,1.088141947984695435e-01,5.385380387306213379e-01,9.838391402645323136e-02,-7.091085789081567059e-01,7.955834926581076272e-02,-2.179904362421439146e+00,2.209303252048150090e-01,1.487981029856020099e+00,7.427262734578931047e-01
1.050000000000000044e+00,4.994688453936816687e-03,3.087666332721710205e-01,1.102002784609794617e-01,5.389325022697448730e-01,9.932207139064702650e-02,-7.078767725294304869e-01,7.973523504142668306e-02,-2.178460513234255380e+00,2.254774782883335049e-01,1.487501040507877459e+00,7.437176274931340814e-01
1.066666666666666652e+00,4.915965417123567896e-03,3.087390363216400146e-01,1.115721985697746277e-01,5.393084287643432617e-01,1.002344352956417717e-01,-7.066571162828788610e-01,7.987981618365938563e-02,-2.177087697747537742e+00,2.300634386914870710e-01,1.487059307572454525e+00,7.448049960058507057e-01
1.083333333333333259e+00,4.833037808905695995e-03,3.087128698825836182e-01,1.129300892353057861e-01,5.396654009819030762e-01,1.011211882697223563e-01,-7.054487284778140355e-01,7.999318958758883102e-02,-2.175786427157145209e+00,2.346872831846636975e-01,1.486654663817817745e+00,7.459863533616772902e-01
1.100000000000000089e+00,4.746681462343499414e-03,3.086881637573242188e-01,1.142740920186042786e-01,5.400025248527526855e-01,1.019824781567431199e-01,-7.042505881401296408e-01,8.007655187062187596e-02,-2.174557560657462307e+00,2.393480186356662653e-01,1.486285898038589792e+00,7.472598540595044581e-01
1.116666666666666696e+00,4.657623718232346485e-03,3.086647987365722656e-01,1.156047657132148743e-01,5.403192043304443359e-01,1.028183796799471139e-01,-7.030617428492308418e-01,8.013136234212429876e-02,-2.173402059437204770e+00,2.440462436889465903e-01,1.485951741141149807e+00,7.486236801943315644e-01
1.133333333333333304e+00,4.566908540341397225e-03,3.086425960063934326e-01,1.169230490922927856e-01,5.406146645545959473e-01,1.036288022124591673e-01,-7.018814990249990782e-01,8.015927833131447633e-02,-2.172320966867010483e+00,2.487843537543616146e-01,1.485650944723190703e+00,7.500761573471911303e-01
1.149999999999999911e+00,4.475252909937754361e-03,3.086211979389190674e-01,1.182300224900245667e-01,5.408885478973388672e-01,1.044134086461009220e-01,-7.007094564650812041e-01,8.016192960156272307e-02,-2.171315347812539986e+00,2.535658255580187648e-01,1.485382308920885519e+00,7.516158449156296051e-01
1.166666666666666741e+00,4.383383048622145617e-03,3.086003363132476807e-01,1.195266693830490112e-01,5.411404371261596680e-01,1.051715801570239084e-01,-6.995454419308790861e-01,8.014071896888089186e-02,-2.170386239164426190e+00,2.583944512489665390e-01,1.485144620265230087e+00,7.532414604339733311e-01
1.183333333333333348e+00,4.291684369473858229e-03,3.085796535015106201e-01,1.208135783672332764e-01,5.413700342178344727e-01,1.059025157067119971e-01,-6.983892973063863252e-01,8.009662871290032515e-02,-2.169534485900038501e+00,2.632732785093213068e-01,1.484936123034938715e+00,7.549515589806096161e-01
1.199999999999999956e+00,4.200417871476805343e-03,3.085588514804840088e-01,1.220909655094146729e-01,5.415769815444946289e-01,1.066053669839025220e-01,-6.972408202194479987e-01,8.003022329753693709e-02,-2.168760743018252057e+00,2.682043094862625043e-01,1.484754711660275284e+00,7.567444237532723328e-01
1.216666666666666563e+00,4.109525810545624699e-03,3.085377514362335205e-01,1.233586892485618591e-01,5.417611598968505859e-01,1.072793501787322606e-01,-6.960997235594128529e-01,7.994168573709344028e-02,-2.168065429233985153e+00,2.731884146671414437e-01,1.484598083311545302e+00,7.586179972716370346e-01
1.233333333333333393e+00,4.019011800276688952e-03,3.085161745548248291e-01,1.246163249015808105e-01,5.419222116470336914e-01,1.079238263740606579e-01,-6.949655792558739886e-01,7.983090085583682827e-02,-2.167448698801780260e+00,2.782254055797927506e-01,1.484463820265148115e+00,7.605698510612752816e-01
1.250000000000000000e+00,3.928691866193432733e-03,3.084941208362579346e-01,1.258631795644760132e-01,5.420599579811096191e-01,1.085381535910506234e-01,-6.938376171492898203e-01,7.969746457174783916e-02,-2.166910642114844077e+00,2.833141998754077351e-01,1.484349473513892237e+00,7.625972456919807296e-01
1.266666666666666607e+00,3.838448493570401510e-03,3.084717392921447754e-01,1.270982325077056885e-01,5.421740412712097168e-01,1.091218631270522293e-01,-6.927147791718665237e-01,7.954044585854097571e-02,-2.166451105469180405e+00,2.884528082192529541e-01,1.484252437478912556e+00,7.646972952984595340e-01
1.283333333333333215e+00,3.748047765247534621e-03,3.084491789340972900e-01,1.283203512430191040e-01,5.422642230987548828e-01,1.096748876990664423e-01,-6.915960191871367568e-01,7.935859541198841960e-02,-2.166069508748828198e+00,2.936385413333472694e-01,1.484169861237124577e+00,7.668670265768070538e-01
1.300000000000000044e+00,3.657089819487365639e-03,3.084264397621154785e-01,1.295284032821655273e-01,5.423304438591003418e-01,1.101975502957514980e-01,-6.904802901900320977e-01,7.915052335527425487e-02,-2.165765067376713926e+00,2.988684494103927558e-01,1.484098671260653424e+00,7.691031725673567188e-01
1.316666666666666652e+00,3.565272145391292728e-03,3.084036111831665039e-01,1.307214200496673584e-01,5.423727035522460938e-01,1.106905250021442272e-01,-6.893665407228061204e-01,7.891485598135858370e-02,-2.165536878699036105e+00,3.041395384576137673e-01,1.484035694120077187e+00,7.714022003139363592e-01
1.333333333333333259e+00,3.472400469567685569e-03,3.083805739879608154e-01,1.318985521793365479e-01,5.423908829689025879e-01,1.111548262704572937e-01,-6.882537798660450790e-01,7.865039260135901766e-02,-2.165383989176040469e+00,3.094488104559796615e-01,1.483977758074973119e+00,7.737603880100634157e-01
1.350000000000000089e+00,3.378403721529477533e-03,3.083572685718536377e-01,1.330591887235641479e-01,5.423849225044250488e-01,1.115917122985113780e-01,-6.871410595053468739e-01,7.835615238875805189e-02,-2.165305400535977753e+00,3.147933403060977908e-01,1.483921810164489541e+00,7.761739376068580443e-01
1.366666666666666696e+00,3.283114637911658997e-03,3.083335161209106445e-01,1.342028379440307617e-01,5.423549413681030273e-01,1.120025879628882698e-01,-6.860274568541048223e-01,7.803137670659256175e-02,-2.165300065135084662e+00,3.201703446040652379e-01,1.483864997793455487e+00,7.786390864089053343e-01
1.383333333333333304e+00,3.186614000081298189e-03,3.083092272281646729e-01,1.353291720151901245e-01,5.423009395599365234e-01,1.123889196189198914e-01,-6.849120176663278103e-01,7.767548112968175600e-02,-2.165366849629361656e+00,3.255772264210542444e-01,1.483804572578026670e+00,7.811521819917971454e-01
1.399999999999999911e+00,3.088996347776271426e-03,3.082842230796813965e-01,1.364379823207855225e-01,5.422229766845703125e-01,1.127521911821828954e-01,-6.837937688710369333e-01,7.728805832467500192e-02,-2.165504574147398831e+00,3.310115781605288965e-01,1.483737946646576766e+00,7.837097404293086322e-01
1.416666666666666741e+00,2.990569853900381606e-03,3.082583248615264893e-01,1.375293582677841187e-01,5.421210527420043945e-01,1.130939744565934990e-01,-6.826716783420284651e-01,7.686926062329463294e-02,-2.165712194536562940e+00,3.364711246084393648e-01,1.483662610830991602e+00,7.863084562609904404e-01
1.433333333333333348e+00,2.892225296312512291e-03,3.082309961318969727e-01,1.386040747165679932e-01,5.419946312904357910e-01,1.134160003411445600e-01,-6.815443023298413117e-01,7.642110181497302479e-02,-2.165989159246447304e+00,3.419536677802000879e-01,1.483575853131303912e+00,7.889453161016465321e-01
1.449999999999999956e+00,2.795384364658479344e-03,3.082016706466674805e-01,1.396636515855789185e-01,5.418428182601928711e-01,1.137203936797318016e-01,-6.804097168808339591e-01,7.594716664776925141e-02,-2.166335032041210695e+00,3.474568187667007590e-01,1.483475242127028748e+00,7.916177032413905801e-01
1.466666666666666563e+00,2.701498139001562090e-03,3.081697821617126465e-01,1.407099366188049316e-01,5.416647195816040039e-01,1.140095261415420003e-01,-6.792656654736668465e-01,7.545189055755426033e-02,-2.166749216563408353e+00,3.529778490793567536e-01,1.483358861237852766e+00,7.943232300107349042e-01
1.483333333333333393e+00,2.611872192604882455e-03,3.081348538398742676e-01,1.417447328567504883e-01,5.414595007896423340e-01,1.142854947696729795e-01,-6.781098710793621587e-01,7.493988664636846986e-02,-2.167230766450809476e+00,3.585137790759565513e-01,1.483225345537106055e+00,7.970594849152123906e-01
1.500000000000000000e+00,2.527371411822531850e-03,3.080967068672180176e-01,1.427695453166961670e-01,5.412267446517944336e-01,1.145497859716387568e-01,-6.769402442103630291e-01,7.441547528694694713e-02,-2.167778357241485043e+00,3.640615068835846846e-01,1.483073818681514444e+00,7.998239118721708341e-01
1.516666666666666607e+00,2.448547165805661004e-03,3.080552816390991211e-01,1.437854915857315063e-01,5.409662127494812012e-01,1.148031676461394035e-01,-6.757549944211416193e-01,7.388243160983397340e-02,-2.168390338612010915e+00,3.696179281113615711e-01,1.482903774081228088e+00,8.026138650493284121e-01
1.533333333333333215e+00,2.375620802313468862e-03,3.080106675624847412e-01,1.447932124137878418e-01,5.406779050827026367e-01,1.150457155487809580e-01,-6.745526452797832029e-01,7.334387976249584495e-02,-2.169064796195851130e+00,3.751800442007062197e-01,1.482714950985774660e+00,8.054266931243844185e-01
1.550000000000000044e+00,2.308516688056532797e-03,3.079631328582763672e-01,1.457929909229278564e-01,5.403621196746826172e-01,1.152769335852396743e-01,-6.733319570361536721e-01,7.280220361043689137e-02,-2.169799655739716115e+00,3.807450347155301729e-01,1.482507112315916586e+00,8.082597922359455733e-01
