t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
6.916666666666666963e+00,3.904175785350458023e-03,3.089723587036132812e-01,-1.519129276275634766e-01,5.357574820518493652e-01,-1.888841023860283741e-01,-1.207586010052448533e-01,-7.773566970289620404e-01,-2.124339643988776061e+00,1.109091311148327819e+00,7.081659744481739738e-01,7.591437302300163559e-01
6.933333333333333570e+00,3.925823196390823035e-03,3.089989125728607178e-01,-1.528888344764709473e-01,5.351809859275817871e-01,-1.896006191565024757e-01,-1.182025747742957156e-01,-7.795986351576810192e-01,-2.124745647857023023e+00,1.110689133005439144e+00,7.071779703527840688e-01,7.613130031859440816e-01
6.950000000000000178e+00,3.963917699139393042e-03,3.090184032917022705e-01,-1.537354588508605957e-01,5.346056818962097168e-01,-1.901211366626605892e-01,-1.156589959005348139e-01,-7.816802587761767507e-01,-2.125115881744815471e+00,1.112067250741580304e+00,7.059979010262392718e-01,7.637437615966309323e-01
6.966666666666666785e+00,3.863258413710094451e-03,3.089342415332794189e-01,-1.546467691659927368e-01,5.340849757194519043e-01,-1.906571726088961971e-01,-1.132568047244979781e-01,-7.840767470425049623e-01,-2.125733374431385325e+00,1.113715137747908646e+00,7.046155570123369127e-01,7.661905456847859508e-01
6.983333333333333393e+00,3.780878214443264031e-03,3.088512718677520752e-01,-1.556364744901657104e-01,5.334820747375488281e-01,-1.913942926833150371e-01,-1.107337737970192082e-01,-7.864693786421469435e-01,-2.126303413322588209e+00,1.115171207076372628e+00,7.034019671404135865e-01,7.687452293903235256e-01
7.000000000000000000e+00,3.603040649304484807e-03,3.086448907852172852e-01,-1.566107869148254395e-01,5.329082012176513672e-01,-1.922348019374299499e-01,-1.084253395700653516e-01,-7.889061734183039354e-01,-2.127179655622348342e+00,1.116653060843853851e+00,7.019686414020952503e-01,7.710927960122271330e-01
7.016666666666666607e+00,3.501815593076997371e-03,3.085463345050811768e-01,-1.575208157300949097e-01,5.323038697242736816e-01,-1.928895417467355322e-01,-1.061120419245410312e-01,-7.912285548471630348e-01,-2.128009253358257968e+00,1.118142092699756507e+00,7.008736276116853681e-01,7.733188534604764630e-01
7.033333333333333215e+00,3.228832828572441183e-03,3.082559406757354736e-01,-1.585115194320678711e-01,5.317569971084594727e-01,-1.937937407532693002e-01,-1.039566368610269909e-01,-7.937043230403459937e-01,-2.128879943476904568e+00,1.119429343436147750e+00,6.993885352099926678e-01,7.759310543289931195e-01
7.049999999999999822e+00,2.921865809377472215e-03,3.079740107059478760e-01,-1.594233214855194092e-01,5.312685370445251465e-01,-1.942091720102473162e-01,-1.020514289376781569e-01,-7.963858023823568999e-01,-2.129687493117187191e+00,1.120597257813886527e+00,6.980517794695589862e-01,7.780744982298597456e-01
7.066666666666666430e+00,2.695496176689880091e-03,3.077047169208526611e-01,-1.603153198957443237e-01,5.306921005249023438e-01,-1.950112872770964068e-01,-1.001335002330739493e-01,-7.986416610020979912e-01,-2.130560455275436915e+00,1.121502230365382324e+00,6.969379763157095287e-01,7.807024400059429103e-01
