t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
6.916666666666666963e+00,4.376631842701510754e-03,3.040951490402221680e-01,-1.501032710075378418e-01,5.397831201553344727e-01,-3.573812842718116639e-02,-5.688429551083796776e-01,-2.970301585347591145e-01,-2.015096033310929791e+00,-1.066080242450744148e-01,1.317011575733480377e+00,1.330645239916400158e+00
6.933333333333333570e+00,4.055212638688556782e-03,3.046059310436248779e-01,-1.515897512435913086e-01,5.403169989585876465e-01,-3.868140491103182199e-02,-5.672976430176357443e-01,-2.975226423140839849e-01,-2.012952103511792323e+00,-1.067060832679688070e-01,1.319579400461356133e+00,1.331338915147383783e+00
6.950000000000000178e+00,4.473995209088953325e-03,3.042511641979217529e-01,-1.524148881435394287e-01,5.400329828262329102e-01,-4.110188608643900593e-02,-5.681437932406685487e-01,-2.976598108021365485e-01,-2.014418919919305662e+00,-1.070318649239856562e-01,1.321182537895639664e+00,1.330428311189305157e+00
6.966666666666666785e+00,5.599158134964352974e-03,3.035053610801696777e-01,-1.530755311250686646e-01,5.403967499732971191e-01,-4.426476782927668552e-02,-5.700544282908196481e-01,-2.974130418459623448e-01,-2.015084665908116524e+00,-1.062781039943778011e-01,1.321647270746611147e+00,1.328814308647437992e+00
6.983333333333333393e+00,6.465971723916193528e-03,3.024902045726776123e-01,-1.541652828454971313e-01,5.402743220329284668e-01,-4.797000886748777060e-02,-5.717897680258066107e-01,-2.977565133941333930e-01,-2.016623842906254627e+00,-1.061850747467651401e-01,1.321966762436143972e+00,1.327351155336047528e+00
7.000000000000000000e+00,6.873247108360148842e-03,3.022389411926269531e-01,-1.549881696701049805e-01,5.400003790855407715e-01,-5.157452753237265486e-02,-5.713673492050734826e-01,-2.974063248032260964e-01,-2.017145099621936666e+00,-1.054962923886287596e-01,1.322733029143071226e+00,1.326459500090648946e+00
7.016666666666666607e+00,7.429179559771361373e-03,3.022837340831756592e-01,-1.556545197963714600e-01,5.401562452316284180e-01,-5.564372660636155571e-02,-5.708025313072609963e-01,-2.961310684052257947e-01,-2.016802641582802647e+00,-1.044157491455260933e-01,1.324083659884668585e+00,1.323106103416552770e+00
7.033333333333333215e+00,7.649281821708638594e-03,3.024399876594543457e-01,-1.565651595592498779e-01,5.399847626686096191e-01,-5.990392955113893469e-02,-5.692230259620746358e-01,-2.950789047829183165e-01,-2.016429934447748540e+00,-1.037570796912272997e-01,1.325393660744001556e+00,1.321024092957156171e+00
7.049999999999999822e+00,7.374410532214434495e-03,3.029796183109283447e-01,-1.570035964250564575e-01,5.391145348548889160e-01,-6.181762152564945073e-02,-5.676739728210782321e-01,-2.947773558682497685e-01,-2.017751727324099686e+00,-1.032319507386910695e-01,1.327960865412990410e+00,1.320079306470994807e+00
7.066666666666666430e+00,7.221064822955682028e-03,3.042817711830139160e-01,-1.579206734895706177e-01,5.390568971633911133e-01,-6.404178316598545251e-02,-5.639466242054157474e-01,-2.941812215802616648e-01,-2.015662002315936174e+00,-1.031784359908527737e-01,1.331019950211984160e+00,1.320021079725170354e+00
7.083333333333333037e+00,6.806766284715936276e-03,3.047013878822326660e-01,-1.587788015604019165e-01,5.380378961563110352e-01,-6.696099232438132431e-02,-5.613944089452387320e-01,-2.938655920236026287e-01,-2.016464671316951396e+00,-1.031555472167948184e-01,1.332799079663514075e+00,1.318538482122495026e+00
7.099999999999999645e+00,5.578039108454333969e-03,3.046687841415405273e-01,-1.603907644748687744e-01,5.362110733985900879e-01,-7.009625461856362760e-02,-5.588727863310422039e-01,-2.951301262733782016e-01,-2.018895541605987720e+00,-1.043025423360622317e-01,1.334735762829153183e+00,1.319179669944111621e+00
7.116666666666666252e+00,4.509718571678667312e-03,3.044604659080505371e-01,-1.625442206859588623e-01,5.345317125320434570e-01,-7.362987971423774758e-02,-5.556547630121948522e-01,-2.971856983573707423e-01,-2.020200557958494514e+00,-1.058193152588194769e-01,1.335811417459901396e+00,1.320764359351672912e+00
7.133333333333332860e+00,4.208435391697957009e-03,3.039130568504333496e-01,-1.639049351215362549e-01,5.329647064208984375e-01,-7.684732953595592442e-02,-5.552360747832232324e-01,-2.984364750216734197e-01,-2.023578246069221542e+00,-1.063324289112507204e-01,1.337649640454028122e+00,1.321245273850204738e+00
7.149999999999999467e+00,4.891499913763628672e-03,3.035936653614044189e-01,-1.645140647888183594e-01,5.328022837638854980e-01,-8.048374741908877195e-02,-5.554644526069395516e-01,-2.976639036137349592e-01,-2.024413432263274970e+00,-1.053737253827262549e-01,1.338620728941265714e+00,1.319244089223574834e+00
7.166666666666666963e+00,4.806349685375075828e-03,3.030312657356262207e-01,-1.652936041355133057e-01,5.311720967292785645e-01,-8.331606535678508230e-02,-5.554247936081860848e-01,-2.985054130413221651e-01,-2.028259886555104252e+00,-1.048419202357099705e-01,1.340013792464116449e+00,1.320094533583697771e+00
7.183333333333333570e+00,4.575392727999570523e-03,3.031606972217559814e-01,-1.661134809255599976e-01,5.301192998886108398e-01,-8.554065929585497052e-02,-5.536772531151639143e-01,-2.990285468000534186e-01,-2.029545197828848568e+00,-1.045459290708425637e-01,1.341519197520934847e+00,1.321823498094449878e+00
7.200000000000000178e+00,4.459973058553125778e-03,3.036527037620544434e-01,-1.668603569269180298e-01,5.297338366508483887e-01,-8.834770961813834256e-02,-5.514332216777675377e-01,-2.985469158534411194e-01,-2.029099835484232450e+00,-1.038444201578599402e-01,1.343223534907213024e+00,1.320858939236868590e+00
